bentuk_pendidikan,nama,npsn,status,alamat,desa,kecamatan,lintang,bujur
KB,PAUD MUTIARA BUNDA,69878337,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
KB,PAUD NUANSA UDAYANA,69878330,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
PKBM,PKBM BUKIT KEHIDUPAN,P9997588,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
PKBM,PKBM MENTARI FAJAR,P2966283,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
PKBM,PKBM Permata Kasih,P9962990,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
PKBM,PKBM Taman Eden Jimbaran,P9963016,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
PKBM,PKBM WERDI SASTRA,P9948293,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
SMP,SMP NEGERI 1 KUTA SELATAN,50101652,Negeri,-,NULL,Kuta Selatan,-8.603966,115.1770912
SMP,SMP NEGERI 2 KUTA SELATAN,50101632,Negeri,-,NULL,Kuta Selatan,-8.603966,115.1770912
SMP,SMP NEGERI 3 KUTA SELATAN,50101636,Negeri,-,NULL,Kuta Selatan,-8.603966,115.1770912
SMP,SMP Negeri 4 Kuta Selatan,50103866,Negeri,-,NULL,Kuta Selatan,-8.603966,115.1770912
SMP,SMP Negeri 5 Kuta Selatan,69899758,Negeri,-,NULL,Kuta Selatan,-8.603966,115.1770912
SMP,SMP Bintang Mandiri,69937735,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
SMP,SMP DWIJENDRA BUALU,50101627,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
SMP,SMP MUTIARA,70011169,Swasta,-,NULL,Kuta Selatan,-8.603966,115.1770912
